Temperature(K),Lambda_th[erg*cm**3/s]
71338.95413997307,2.831299149781153e-22
77698.43598891287,3.2421528503221716e-22
84729.83475513048,3.5892473745554485e-22
92684.78779153449,3.869701405466219e-22
101827.34730561965,4.0510526570985233e-22
112256.56785695782,4.056979272431947e-22
123984.72109851432,3.9024268190033664e-22
136854.50083093243,3.8257026778857534e-22
150758.4317148243,3.8439623697691304e-22
165830.5225198487,3.904664111876088e-22
182205.22571656178,3.9602225874463214e-22
200030.31131646998,3.9898967228833807e-22
219535.1496879222,4.030917403676229e-22
240863.65065307057,3.962380840814931e-22
264235.9347231939,3.618507348809431e-22
289881.135030122,3.012980814649279e-22
318025.90500754194,2.3085809692238247e-22
348861.6170663206,1.825498759512513e-22
382747.12313705764,1.586891536702731e-22
419893.6325468139,1.472247524983997e-22
460609.8632680751,1.420665333890318e-22
505277.0996127384,1.3875999338073955e-22
554277.3066423043,1.3298026644927258e-22
608031.592487061,1.244740687129291e-22
667000.0391456685,1.1755514272107323e-22
731687.4361085214,1.1383038779252788e-22
802648.3253923735,1.137313307636554e-22
880493.5453667801,1.1556348812398586e-22
965887.0635819036,1.1569504350891829e-22
1059563.4823115775,1.1345658439839322e-22
1162326.0114479093,1.0932427191549414e-22
1275054.7770883504,1.0398427782928772e-22
1398715.4269311125,9.74083911705478e-23
1534370.6109299292,8.942202018816652e-23
1683181.468531201,7.950483699479665e-23
1846425.0322580629,6.846490882640727e-23
2025502.1232677407,5.755319251516531e-23
2221947.408054305,4.8151953041360616e-23
2437447.116213315,4.1159383291410654e-23
2673845.8017090466,3.564253447247217e-23
2933170.7999026286,3.10964463795195e-23
3217646.5709865103,2.730649739798354e-23
3529712.0074408157,2.4338096932048502e-23
3872040.080026449,2.2180513468735565e-23
4247571.552536902,2.0695966192218925e-23
4659525.668664679,1.9679822534154198e-23
5111433.483440166,1.8990023225053464e-23
5607169.938205457,1.8552761177449802e-23
6150985.788580505,1.808650122340561e-23
6747544.053110702,1.7765254001063973e-23
7401959.9969156375,1.7603097771941565e-23
8119844.993184008,1.7621787722620704e-23
8907354.63861044,1.786282785670501e-23
9771241.535346502,1.7763089340412482e-23
10718913.192051286,1.761498283359311e-23
11758495.540521577,1.7261582518277643e-23
12898902.61253308,1.6705162491114827e-23
14149912.974345759,1.6069386159813542e-23
15522253.574270483,1.5144192874033632e-23
17027691.72225901,1.4183615621358225e-23
18679135.99020785,1.3369516736348303e-23
20490746.89815846,1.274539878774014e-23
22478058.33548725,1.228592982773812e-23
24658110.758226037,1.1988832013069262e-23
27049597.304631364,1.1826583310843923e-23
29673024.081888717,1.1772905678858229e-23
32550885.998350564,1.1819706563665869e-23
35707859.64900462,1.1966343371325459e-23
39171014.90809261,1.2182196070791783e-23
42970047.043208435,1.2454055281484335e-23
47137531.3411673,1.2772668999707526e-23
51709202.42896755,1.3131546717977368e-23
56724260.684919775,1.3528115445190957e-23
62225708.36730231,1.3990944858151664e-23
68260718.34272395,1.4475417421320308e-23
74881038.5759003,1.4976159397331996e-23
82143435.84919423,1.5488557983155666e-23
90110182.5166502,1.6008740439501253e-23
98849590.46625584,1.653081735672643e-23
108436596.86896089,1.7104622707180513e-23
118953406.73703206,1.7697361963957144e-23
130490197.8014402,1.830520702151238e-23
143145893.75234812,1.8931307964048047e-23
157029012.47293776,1.957620403713318e-23
172258596.53987834,2.0283656773354313e-23
188965233.96912113,2.1013219365322692e-23
207292177.95953697,2.178979611450705e-23
227396575.23579317,2.2635406625387745e-23
249450813.52303168,2.3522760133768776e-23
273643999.70746666,2.445219486241832e-23
300183581.35755914,2.5427167250610344e-23
329297125.5097149,2.649021718808087e-23
361234269.97094375,2.766127444491503e-23
396268863.87014776,2.889250507336887e-23
434701315.8125018,3.018469974432637e-23
476861169.77144736,3.154154699938798e-23
523109930.8056258,3.2965734770475326e-23
573844164.8302406,3.4487067250387924e-23
629498899.0221888,3.6185231471089497e-23
690551352.0162318,3.7978072582856333e-23
757525025.877192,3.9872236430061104e-23
830994194.9353421,4.1875038437092707e-23
911588829.975084,4.399489753113259e-23
1000000000.0,4.6241498068163155e-23
