Temperature(K),Lambda_th[erg*cm**3/s]
1.2541339712842400E+04,7.2644549255683300E-24
1.3724892225928900E+04,1.5234201045322600E-23
1.4772061836612900E+04,2.8418469058661100E-23
1.5796743363817400E+04,4.8620187497426800E-23
1.6892917168126200E+04,6.3867638445780800E-23
1.8014428463057500E+04,7.7916428578426500E-23
1.9687681810584400E+04,7.9082336911344500E-23
2.1973051133094100E+04,7.2833413428243100E-23
2.4415733923741200E+04,6.8474651923385400E-23
2.7279873350692400E+04,6.9042739336995900E-23
3.0067152780437700E+04,7.3501791350307600E-23
3.3204596215495400E+04,8.1159801735394000E-23
3.6606081771202300E+04,9.1702144058485200E-23
4.0472722694447300E+04,1.0603632768303100E-22
4.4783896057315900E+04,1.2428406941432900E-22
4.9459645133675200E+04,1.4603724894365000E-22
5.4454592689453300E+04,1.7179491072942200E-22
5.9728847801185900E+04,2.0221511477888800E-22
6.5324874123525300E+04,2.3790519195608500E-22
7.1270478526176100E+04,2.7839883884311600E-22
7.7633331746223000E+04,3.1616364687041500E-22
8.4682012212797500E+04,3.4682209277408900E-22
9.2664121729216800E+04,3.6969021504235800E-22
1.0184800876330000E+05,3.8208904119942000E-22
1.1231565560136900E+05,3.7964572831282300E-22
1.2406441359867500E+05,3.6814294544959500E-22
1.3692594612547700E+05,3.6817178149471100E-22
1.5081894378996100E+05,3.7826950524666000E-22
1.6586727603555400E+05,3.9133866894373800E-22
1.8221545584983700E+05,4.0156286374605900E-22
2.0003695889590500E+05,4.0666955458153000E-22
2.1951992950866200E+05,4.1229664813375000E-22
2.4086231173700100E+05,4.1104590037397600E-22
2.6425582396535300E+05,3.8766614243539300E-22
2.8990646047136700E+05,3.3730543376737700E-22
3.1803729683882300E+05,2.6863136642567100E-22
3.4889142872956400E+05,2.1009908861717700E-22
3.8273536679964900E+05,1.7685059892460400E-22
4.1985995393765600E+05,1.5942664263411000E-22
4.6058387594078800E+05,1.5144851813875500E-22
5.0525653736371000E+05,1.4775064796738500E-22
5.5426110821603200E+05,1.4241614179702700E-22
6.0801801808635900E+05,1.3285294170292500E-22
6.6698830076179500E+05,1.2328922087604700E-22
7.3167763851487400E+05,1.1603511572466700E-22
8.0264074176139800E+05,1.1223727949782400E-22
8.8048609740768300E+05,1.1116119630386800E-22
9.6588124767971000E+05,1.1006260503950200E-22
1.0595584387987500E+06,1.0795814231212200E-22
1.1623209253348200E+06,1.0503940649680700E-22
1.2750498656571300E+06,1.0173523181561100E-22
1.3987118619002900E+06,9.8231358596982700E-23
1.5343672805649400E+06,9.3186546164040300E-23
1.6831793215871500E+06,8.5468442954479200E-23
1.8464239954659700E+06,7.5310344453160900E-23
2.0255010672528600E+06,6.4013199479601600E-23
2.2219460500562600E+06,5.3709402721658600E-23
2.4374433906655100E+06,4.5821003938668900E-23
2.6738409018699900E+06,3.9448818086371200E-23
2.9331656052437400E+06,3.4195806609923200E-23
3.2176411148846000E+06,2.9928767668694500E-23
3.5297067004913000E+06,2.6794577499394600E-23
3.8720382074535600E+06,2.4837247454984400E-23
4.2475710030734300E+06,2.3569852098963400E-23
4.6595251412952300E+06,2.2791003651256700E-23
5.1114329759495800E+06,2.2353358857023100E-23
5.6071694477112100E+06,2.2145911222865400E-23
6.1509853128649000E+06,2.2100731722089300E-23
6.7475435917922500E+06,2.2127193815664900E-23
7.4019595488943100E+06,2.2174064802628600E-23
8.1198445570061400E+06,2.2187665294781300E-23
8.9073542121791000E+06,2.2111315968515400E-23
9.7712411176945400E+06,2.1799082578021900E-23
1.0718912781604800E+07,2.1162591650378700E-23
1.1758495136564600E+07,2.0135695960387100E-23
1.2898902214829200E+07,1.8764856571848700E-23
1.4149912581906800E+07,1.7188402788607600E-23
1.5522253186892000E+07,1.5667897401034200E-23
1.7027691339245400E+07,1.4462011241742700E-23
1.8679135611134700E+07,1.3567862552584800E-23
2.0490746522992600E+07,1.2944628475633800E-23
2.2478057964051100E+07,1.2541309145913300E-23
2.4658110389211200E+07,1.2326839055137900E-23
2.7049596937759600E+07,1.2242814641616900E-23
2.9673023717277100E+07,1.2261142966986100E-23
3.2550885636249900E+07,1.2363050627271200E-23
3.5707859289322900E+07,1.2534148346095500E-23
3.9171014549663300E+07,1.2776617725973600E-23
4.2970046686621600E+07,1.3073484205474200E-23
4.7137530986781500E+07,1.3418236944538100E-23
5.1709202076679000E+07,1.3808029601367200E-23
5.6724260334452000E+07,1.4240613569053100E-23
6.2225708019354100E+07,1.4717668743779000E-23
6.8260717996368000E+07,1.5234963541380100E-23
7.4881038230940800E+07,1.5789959936481400E-23
8.2143435505962400E+07,1.6381200655847300E-23
9.0110182175850900E+07,1.7007729852785200E-23
9.8849590127731600E+07,1.7672967149827700E-23
1.0843659653235700E+08,1.8381785636559600E-23
1.1895340640242800E+08,1.9133399444924100E-23
