Temperature(K),L1
3.1688640903005100E+03,2.7843645472000200E-25
3.4636460331574000E+03,3.0236319933292100E-25
3.7855096807170200E+03,3.3035780569788600E-25
4.1373864566716400E+03,3.6315681879785000E-25
4.5008989817581400E+03,3.9978034799209500E-25
4.9187717199055400E+03,4.4579163398166800E-25
5.3748776933221300E+03,5.0107357418372400E-25
5.8735516830835800E+03,5.6800230246558000E-25
6.4179037515585800E+03,6.5009812364266800E-25
7.0106005771960800E+03,7.5468898617974100E-25
7.6574179037753800E+03,8.9762685814063300E-25
8.3632195690806300E+03,1.0964689159821000E-24
9.1302535367869700E+03,1.4020958523116700E-24
9.9628179300276600E+03,1.9360415569370400E-24
1.0812229895465400E+04,2.8799153323197900E-24
1.1759707908708400E+04,4.8078038452894700E-24
1.2667296257039600E+04,8.2092885794057900E-24
1.3576575990418700E+04,1.4335458668411300E-23
1.4344719898472100E+04,2.2578454534263200E-23
1.4958233654951000E+04,3.1508383721438300E-23
1.5557151089526700E+04,4.3113335751654800E-23
1.6218678903052600E+04,5.4744511702020600E-23
1.6917709152926800E+04,6.4355198670036400E-23
1.7656372674048200E+04,7.5816485822973300E-23
1.8612231312638700E+04,7.8414736739969100E-23
1.9783905990207500E+04,7.9334377568148400E-23
2.1351852122174100E+04,7.4732174825118000E-23
2.3099102264949300E+04,7.0638049209035200E-23
2.5165338329219000E+04,6.8174683225069100E-23
2.7370650402732100E+04,6.9448419385991700E-23
2.9748567761014600E+04,7.3187516832930500E-23
3.2351334402744300E+04,7.9286077444045600E-23
3.5278769086594300E+04,8.7826372411570400E-23
3.8551467459262500E+04,9.9044690775326300E-23
4.2163268100076400E+04,1.1336924769366600E-22
4.6125964238594900E+04,1.3086973438036400E-22
5.0454631942521100E+04,1.5153715605812000E-22
5.5148421022928500E+04,1.7615901460212700E-22
6.0182237314346800E+04,2.0569997589664400E-22
6.5562687766326100E+04,2.4023799019450600E-22
7.1330080329605400E+04,2.7957532068546600E-22
7.7549316985455400E+04,3.1656393546135500E-22
8.4511900890532600E+04,3.4717821976333400E-22
9.2380384321154000E+04,3.7029396771821600E-22
1.0130259191334000E+05,3.8346321298079500E-22
1.1136202444966800E+05,3.8122173427964700E-22
1.2253375072523300E+05,3.7095495875730000E-22
1.3470276625487700E+05,3.6938774159582700E-22
1.4798588352256300E+05,3.7724527841523500E-22
1.6256799176660900E+05,3.9075438815565100E-22
1.7861702507161700E+05,4.0261013314407900E-22
1.9628850166660100E+05,4.0788200062669700E-22
2.1567676179649600E+05,4.1370170437240800E-22
2.3702841495123100E+05,4.1431692383906500E-22
2.6069140710118700E+05,3.9643438692641900E-22
2.8691087877920300E+05,3.4926959657920600E-22
3.1580436270425700E+05,2.7722763678087400E-22
3.4732231066196100E+05,2.1656735843536900E-22
3.8156789956318900E+05,1.8207504383861200E-22
4.1893549075272600E+05,1.6438759872753300E-22
4.5981219188586100E+05,1.5666464842456700E-22
5.0460204727003900E+05,1.5345599864199200E-22
5.5374908577677800E+05,1.4861896693589900E-22
6.0770320365988400E+05,1.3962917314588500E-22
6.6687901898130200E+05,1.3064844739381200E-22
7.3175900220537000E+05,1.2405239310001800E-22
8.0288795316903600E+05,1.2099665235301100E-22
8.8088348643017000E+05,1.2072959762415300E-22
9.6644269769566100E+05,1.2051381088668100E-22
1.0603098793993000E+06,1.1936074852774500E-22
1.1632871058151500E+06,1.1748972231307200E-22
1.2762527242111400E+06,1.1533258643120700E-22
1.4001731231436800E+06,1.1308531156430500E-22
1.5361251997961500E+06,1.0939470418866600E-22
1.6852863099274900E+06,1.0312665528482100E-22
1.8489317465259700E+06,9.4555774378970400E-23
2.0284492069112100E+06,8.5058757420699100E-23
2.2253550323159800E+06,7.6745638557279300E-23
2.4413218511155400E+06,7.1038957651265300E-23
2.6782104986988100E+06,6.7041723579325900E-23
2.9380557743279800E+06,6.4379649489722200E-23
3.2230865585965800E+06,6.2951452107751900E-23
3.5357452113728600E+06,6.2906065852499100E-23
3.8787115425012900E+06,6.4344631784823900E-23
4.2549316339524900E+06,6.6783595051342800E-23
4.6676333962825900E+06,7.0058490855748800E-23
5.1203570317904500E+06,7.4060974057939700E-23
5.6169857272430800E+06,7.8707687341912600E-23
6.1617784389581100E+06,8.3986002219774000E-23
6.7594074747107600E+06,8.9854871512387500E-23
7.4149979596584200E+06,9.6300748481271900E-23
8.1341718480446800E+06,1.0333102411276100E-22
8.9230961959405700E+06,1.1096698945417300E-22
9.7885374064857200E+06,1.1911614491200100E-22
1.0737917247714000E+07,1.2776170770797500E-22
1.1779376578773700E+07,1.3695017116651300E-22
1.2921845081658900E+07,1.4680216302642300E-22
1.4175117242405100E+07,1.5756808952378500E-22
1.5549936015665700E+07,1.6965967672003100E-22
1.7058087392668200E+07,1.8342372561205600E-22
1.8712502974722700E+07,1.9900040889992000E-22
2.0527368331558300E+07,2.1656441415998200E-22
2.2518246019485100E+07,2.3619336876949800E-22
2.4702207114623100E+07,2.5805243378342200E-22
2.7097977752833300E+07,2.8237833503626000E-22
2.9726101201967400E+07,3.0933807518136500E-22
3.2609112426206500E+07,3.3918392573368900E-22
3.5771730886788500E+07,3.7229427119928400E-22
3.9241074672850900E+07,4.0896890965214500E-22
4.3046891641683900E+07,4.4956793056427800E-22
4.7221813374886200E+07,4.9461846270102600E-22
5.1801637612855800E+07,5.4456658697733800E-22
5.6825633656958700E+07,5.9993488663768500E-22
