Temperature(K),L1
1.5518772137045200E+03,1.2623190210655300E-25
1.6973604919184700E+03,1.3546911112986400E-25
1.8562059968366600E+03,1.4535626480714700E-25
2.0300079539215500E+03,1.5594313455043200E-25
2.2199308278881800E+03,1.6709747427439200E-25
2.4272514061278700E+03,1.7989581958262200E-25
2.6536322641716100E+03,1.9434399179639000E-25
2.9012154152245800E+03,2.1087208140870200E-25
3.1716605532263100E+03,2.2999565388649800E-25
3.4666304513693900E+03,2.5306039611918000E-25
3.7887262009677600E+03,2.8010111957370600E-25
4.1408693201069000E+03,3.1181424032208900E-25
4.5046751099322800E+03,3.4688645097180600E-25
4.9229072785112100E+03,3.9143901149133000E-25
5.3794661945231700E+03,4.4513488262292700E-25
5.8786794536604000E+03,5.1031066151217200E-25
6.4236905086393800E+03,5.9048405637568900E-25
7.0171973963174600E+03,6.9280589860431400E-25
7.6651652484094000E+03,8.3360839817780000E-25
8.3725190201983500E+03,1.0305518916356600E-24
9.1419653892935900E+03,1.3354142793968300E-24
9.9787637147207400E+03,1.8728853947587800E-24
1.0835529851115400E+04,2.8328529200863300E-24
1.1796489695303000E+04,4.8232038916358800E-24
1.2733714953146000E+04,8.4597102655501100E-24
1.3673111333812800E+04,1.5110418801081600E-23
1.4453285322699200E+04,2.3889965053458400E-23
1.5086445567631900E+04,3.3619258708606000E-23
1.5724246458690900E+04,4.6854505306153200E-23
1.6410699607130500E+04,5.7149341534863200E-23
1.7129486763367900E+04,6.7368357982977900E-23
1.7869017395457200E+04,7.7843921250412400E-23
1.8906678067256600E+04,7.8462938891976400E-23
2.0066359875423800E+04,7.8867715776660000E-23
2.1680379203785800E+04,7.3577962824501000E-23
2.3431505350095500E+04,6.9788169722904700E-23
2.5488623835256500E+04,6.7941350829509700E-23
2.7699120059797600E+04,6.9478306321244300E-23
3.0097594107037500E+04,7.3566363824037600E-23
3.2746949718606300E+04,7.9928840974742400E-23
3.5722979606172800E+04,8.8838094960596700E-23
3.9067927873299600E+04,1.0055724180134200E-22
4.2764022050566000E+04,1.1541073863583100E-22
4.6823989153127900E+04,1.3354396477677600E-22
5.1263206054993400E+04,1.5507722973087200E-22
5.6087214969406400E+04,1.8061718316824700E-22
6.1263349962764100E+04,2.1174300102173400E-22
6.6780922853803900E+04,2.4763297147218200E-22
7.2695637936849100E+04,2.8671672078647900E-22
7.9066481157695700E+04,3.2489025662778700E-22
8.6168781116956800E+04,3.5243423962535500E-22
9.4158448789018800E+04,3.7229350742836200E-22
1.0314021429938400E+05,3.8170503984110000E-22
1.1318370387842000E+05,3.7870486669234200E-22
1.2432022033352700E+05,3.6791886786494700E-22
1.3650684122480100E+05,3.6809972078901500E-22
1.4984780969223100E+05,3.7732143468650600E-22
1.6449432826576700E+05,3.9030348307173200E-22
1.8059327236933900E+05,4.0109493218863800E-22
1.9829184449939400E+05,4.0616880081363600E-22
2.1771005373063200E+05,4.1178271278695900E-22
2.3905718733891100E+05,4.1129656237843700E-22
2.6260528402206600E+05,3.9031864070948000E-22
2.8857896079453100E+05,3.4111380271516500E-22
3.1714287154890000E+05,2.7064861489495500E-22
3.4838120023813000E+05,2.1091611509222500E-22
3.8247141603827900E+05,1.7705625318321900E-22
4.1976023606294900E+05,1.5945326188142900E-22
4.6060343592004900E+05,1.5144687940762000E-22
5.0538017096386900E+05,1.4773628442762700E-22
5.5450679304186900E+05,1.4239107946982200E-22
6.0841991865428400E+05,1.3278129004470500E-22
6.6755588149884000E+05,1.2320526972535100E-22
7.3240825096631200E+05,1.1598974373703000E-22
8.0352687623046200E+05,1.1222438873005700E-22
8.8152575671870400E+05,1.1114754746755700E-22
9.6708898747328600E+05,1.1004778167224100E-22
1.0609559910414500E+06,1.0791986953101600E-22
1.1639301405729000E+06,1.0499000089693600E-22
1.2768918724751400E+06,1.0167960368011600E-22
1.4008085675612800E+06,9.8175700268622600E-23
1.5367505238226400E+06,9.3101010656159500E-23
1.6858896546963600E+06,8.5314994516009200E-23
1.8495027532370400E+06,7.5093368207801400E-23
2.0289843793071000E+06,6.3803928402929600E-23
2.2258611001032100E+06,5.3531455892886700E-23
2.4418125164063000E+06,4.5682477012737200E-23
2.6786952161653600E+06,3.9336242565034800E-23
2.9385423003680500E+06,3.4101684537578900E-23
3.2235822663163500E+06,2.9862137637708200E-23
3.5362583450115200E+06,2.6735970641201100E-23
3.8792510129017300E+06,2.4800797962569000E-23
4.2555041147589200E+06,2.3549310537889300E-23
4.6682449682851500E+06,2.2780749702486800E-23
5.1210134706857900E+06,2.2349046568517300E-23
5.6176925664082300E+06,2.2141830206860400E-23
6.1625414207615800E+06,2.2099994027688900E-23
6.7602324537587300E+06,2.2128258087306600E-23
7.4158909404566300E+06,2.2174895640339200E-23
8.1351392187099700E+06,2.2186005419298600E-23
8.9241448926498600E+06,2.2106297642271600E-23
9.7896742060260800E+06,2.1792923151202300E-23
1.0739149296725900E+07,2.1147823059646400E-23
1.1780711881049300E+07,2.0109334084799100E-23
1.2923292618160000E+07,1.8730024516826800E-23
1.4176687818758200E+07,1.7154275966936600E-23
1.5551643328738000E+07,1.5639865119110300E-23
1.7059947354807000E+07,1.4440057372344800E-23
1.8714532995178500E+07,1.3552812086407100E-23
2.0529587907427800E+07,1.2935318279679700E-23
2.2520675775546200E+07,1.2536282420634300E-23
2.4704869605018800E+07,1.2323099573671500E-23
2.7100898341989100E+07,1.2241936517010000E-23
2.9729307210201000E+07,1.2262559189857800E-23
3.2612633945898800E+07,1.2366221700713000E-23
