Temperature(K),Lambda[erg*cm**3/s]
23816.85551976160000000,2.7683007361952500E-23
26126.75225563320000000,3.3475298616619500E-23
28660.67616948250000000,4.1195119011681100E-23
31440.35471591490000000,5.1339832903895400E-23
34489.62260405750000000,6.4179258516985500E-23
37834.62617131930000000,8.0639304961085600E-23
41504.04757850470000000,1.0208263212467200E-22
45529.35074866940000000,1.3057707995789300E-22
49945.05115855130000000,1.6955277587385000E-22
54789.01179593940000000,2.2124989342858000E-22
60102.76782070380000000,2.9065600657752000E-22
65931.88271333540000000,3.8368132057673700E-22
72326.33896483530000000,5.0549827673383800E-22
79340.96665797490000000,6.6091461351913800E-22
87035.91361485160000000,8.5539096728504800E-22
95477.16114208060000000,1.0956629347384000E-21
104737.08979594400000000,1.3825857136624600E-21
114895.10001873000000000,1.7242817705823100E-21
126038.29296797200000000,2.1323326457716500E-21
138262.21737646500000000,2.6344866226279100E-21
151671.68884709200000000,3.2410922754585000E-21
166381.68860761200000000,3.9511895364752500E-21
182518.34943190400000000,4.7624669018449400E-21
200220.03718155800000000,5.6770376741675300E-21
219638.53724165400000000,6.6989824330283200E-21
240940.35602395200000000,7.8098045163282100E-21
264308.14869741000000000,8.9882463475566200E-21
289942.28538828700000000,1.0230410842616900E-20
318062.56927941100000000,1.1543727575660500E-20
348910.12134067700000000,1.2955246626466600E-20
382749.44785163100000000,1.4457356956772600E-20
419870.70844439100000000,1.6021485978448300E-20
460592.20411451000000000,1.7627998022153500E-20
505263.10653356700000000,1.9258424788810000E-20
554266.45206631000000000,2.0892298202303900E-20
608022.42616494200000000,2.2515275843494900E-20
666991.96630301200000000,2.4117761271427300E-20
731680.71434271900000000,2.5688328694634000E-20
802643.35222571700000000,2.7215096487774100E-20
880488.35816434600000000,2.8682452185830100E-20
965883.22411587100000000,3.0077761092563500E-20
1059560.17927761000000000,3.1391531946217100E-20
1162322.46867985000000000,3.2612748708905700E-20
1275051.24071301000000000,3.3739215796801600E-20
1398713.10264723000000000,3.4766422213231800E-20
1534368.40893001000000000,3.5686284054694300E-20
1683180.35333095000000000,3.6499579441985800E-20
1846424.94289554000000000,3.7207067637785200E-20
2025501.93923066000000000,3.7806085283544100E-20
2221946.86093952000000000,3.8302112622940300E-20
2437444.15012222000000000,3.8699852772756300E-20
2673841.61583994000000000,3.8997472337514800E-20
2933166.27839004000000000,3.9200342450529000E-20
3217641.75025073000000000,3.9313897041756700E-20
3529707.30273064000000000,3.9339864788081100E-20
3872038.78181255000000000,3.9284615753427700E-20
4247571.55253690000000000,3.9154020063990600E-20
4659525.66866467000000000,3.8951702292150900E-20
5111433.48344016000000000,3.8683542283866600E-20
5607169.93820545000000000,3.8356413323418200E-20
6150985.78858050000000000,3.7973859263274400E-20
6747544.05311069000000000,3.7540771720586800E-20
7401959.99691563000000000,3.7063736941985100E-20
8119844.99318400000000000,3.6547044484536600E-20
