Temperature(K),L1
1.3763254231037600E+03,1.7084210716660200E-25
1.5099291113445100E+03,1.8006996829020100E-25
1.6564967610007400E+03,1.8984804694395700E-25
1.8172837026056600E+03,2.0033659678036900E-25
1.9936651417328900E+03,2.1171285647667800E-25
2.1871610420833900E+03,2.2373505316052300E-25
2.3994199164088700E+03,2.3737381962964300E-25
2.6322557105460800E+03,2.5293358962120400E-25
2.8876616370259600E+03,2.7086160464704700E-25
3.1678084793461200E+03,2.9188601295825600E-25
3.4750938687010000E+03,3.1751930787538400E-25
3.8121465142068500E+03,3.4788768556762100E-25
4.1818459581875200E+03,3.8392474908431500E-25
4.5873488590816200E+03,4.2681341590025800E-25
5.0320988163633400E+03,4.7806543085407000E-25
5.5198815145380300E+03,5.4166273733006200E-25
6.0548396366692300E+03,6.2027765497262300E-25
6.6414948963917000E+03,7.1880044872700400E-25
7.2847893755899600E+03,8.4464965079124900E-25
7.9900093491553500E+03,1.0086219129695500E-24
8.7630514815457400E+03,1.2272719057798600E-24
9.6103430279531000E+03,1.5146613080091300E-24
1.0538767650143500E+04,1.8959477620224500E-24
1.1555663440502300E+04,2.4191908720304300E-24
1.2668020621694800E+04,3.1719302001140200E-24
1.3878619079520900E+04,4.6274758468863500E-24
1.5186814459945200E+04,7.3329640113174800E-24
1.6598021138399700E+04,1.1418687229011800E-23
1.8139770832357700E+04,1.6310731386260900E-23
1.9863594158850300E+04,1.9968204950667100E-23
2.1754388574808000E+04,1.9633573878921600E-22
2.3819702220578400E+04,1.9291817722423000E-22
2.6068243877139700E+04,2.0667940318826800E-22
2.8115203078119800E+04,1.9446238098330000E-22
2.8190281885968700E+04,2.0171262054559000E-22
2.8512499148910900E+04,2.2548423013534100E-22
2.8730826478593100E+04,2.1511579064234700E-22
2.8853715983106900E+04,2.3952108525989300E-23
2.9955474582122400E+04,2.5590259846424600E-22
3.0401509014462700E+04,2.3722536644330400E-22
3.1169340031683100E+04,2.7087524461073500E-22
3.1885078855853300E+04,2.8556828460282800E-23
3.3504166901265100E+04,3.1192082544577400E-22
3.4061803744368600E+04,3.2212732635588200E-22
3.4988954881452800E+04,3.4414541555858400E-23
3.7209746600586000E+04,4.0030224732084000E-22
3.9835798222917400E+04,4.2060581927047300E-23
4.0633871213547800E+04,4.1927854552968300E-22
4.0717560506148900E+04,5.1609414091072900E-23
4.4356009979640100E+04,5.2159581090185600E-22
4.7263768542060500E+04,6.3645171587577900E-23
4.8392020537848100E+04,6.8168250743295700E-22
5.2718467832904200E+04,7.9108461715961700E-23
5.5020753756805000E+04,1.0016152733839500E-22
5.6455600648163200E+04,7.4727626875748600E-22
5.7237525829333800E+04,1.3312420989716300E-22
6.1675341786309500E+04,1.9459014543668800E-22
6.3927772155899600E+04,3.5847774701200600E-22
6.5350995509047400E+04,5.5896718402481900E-22
6.6784997007009900E+04,3.2427651047668200E-22
7.4483296149628800E+04,3.2885285707705800E-22
9.5856460936379000E+04,4.7812709596102000E-22
1.1742526634150100E+05,5.9763994639015800E-22
1.3953728167593500E+05,7.2741207117931900E-22
1.6260962597561800E+05,8.8444811906929500E-22
1.8710264846672400E+05,1.0155008695102200E-21
2.1335475438164700E+05,1.0750040617621800E-21
2.4172394019476700E+05,1.0582868942145500E-21
2.7282662883661500E+05,9.6461989509188900E-22
3.0749778568386800E+05,7.6278939861407400E-22
3.4516910732038000E+05,5.3960634219776000E-22
3.8639072797697100E+05,3.7806317168571400E-22
4.3186917983196600E+05,2.8228084428001700E-22
4.8224756718469800E+05,2.2908512541172700E-22
5.3780249310683200E+05,1.9753309803035800E-22
5.9740101772237900E+05,1.7758529517031600E-22
6.6514431734042000E+05,1.5741484495454800E-22
7.3956573455935200E+05,1.4382444675887300E-22
8.1953755884297600E+05,1.3910382038555700E-22
9.0969820851141200E+05,1.3756518887371600E-22
1.0060732567159200E+06,1.3691180704800400E-22
1.1141343771922700E+06,1.3445461501608200E-22
1.2309891660449600E+06,1.3178806493048200E-22
1.3589089322165400E+06,1.2899123003411400E-22
1.5015856120530000E+06,1.2503112272328800E-22
1.6557950506949400E+06,1.1855491774816600E-22
1.8249543132586200E+06,1.0897272407290900E-22
2.0122493152007300E+06,9.7436656860564500E-23
2.2162257504875200E+06,8.7443997097580500E-23
2.4396045303923600E+06,8.0618067551624400E-23
2.6846727569815300E+06,7.5920387162820100E-23
2.9545007227946000E+06,7.2826640042679800E-23
3.2497022836402000E+06,7.1274157054612800E-23
3.5732117464493200E+06,7.1332253021612300E-23
3.9279573772268200E+06,7.3056138240569300E-23
4.3170294829496700E+06,7.6002944071658800E-23
4.7439743894407100E+06,7.9886374395695100E-23
5.2123600547899100E+06,8.4569843257102300E-23
5.7259519973899100E+06,8.9987576979857500E-23
6.2892071011763600E+06,9.6101828685514800E-23
6.9069801513054200E+06,1.0290489758949500E-22
7.5845753981652800E+06,1.1036236304367800E-22
8.3277979341588500E+06,1.1848093730089200E-22
9.1430103259980900E+06,1.2725042377955700E-22
1.0037192217159300E+07,1.3668272024450700E-22
1.1017995210099400E+07,1.4663760171957500E-22
1.2093813159952900E+07,1.5714190963672700E-22
1.3273850519020300E+07,1.6847700100316200E-22
1.4568204177873700E+07,1.8105766636892900E-22
1.5987951053327700E+07,1.9524121084252100E-22
1.7545241317290500E+07,2.1135402973975700E-22
1.9253398317911800E+07,2.2962531435037700E-22
2.1127045852522800E+07,2.5015473879055200E-22
2.3182230666465100E+07,2.7306283091807600E-22
2.5436593282158700E+07,2.9856437959958000E-22
2.7909666944188200E+07,3.2691602460469600E-22
3.0622537596466000E+07,3.5833726965284900E-22
3.3597919780233000E+07,3.9314579648523000E-22
3.6861866421563100E+07,4.3175496128653300E-22
4.0442729444667500E+07,4.7449792943561000E-22
4.4370026631037100E+07,5.2184539814358600E-22
4.8678474586924900E+07,5.7441879478597800E-22
5.3404761324669000E+07,6.3268266902294100E-22
5.8589073000817400E+07,6.9729292720924200E-22
6.4276612533537400E+07,7.6915873593632300E-22
7.0515360768510900E+07,8.4895041245227900E-22
7.7359635123372800E+07,9.3759901888319500E-22
8.4867836893062800E+07,1.0363879399171000E-21
9.3104344942076900E+07,1.1463171010530500E-21
1.0214063752768800E+08,1.2687174195885600E-21
1.1205338218857100E+08,1.4053891234667200E-21
1.2292901620682900E+08,1.5578626222265800E-21
1.3486027688333200E+08,1.7280319247377900E-21
1.4795155160493100E+08,1.9184377882896100E-21
1.6231383163058200E+08,2.1313993309786200E-21
1.7807339002214500E+08,2.3696552447235400E-21
1.9536935480374100E+08,2.6368163206734000E-21
2.1436439727341800E+08,2.9364344663255900E-21
2.3522714996802400E+08,3.2724926002430600E-21
2.5833731444162300E+08,3.6507922999111300E-21
2.8363856023154700E+08,4.0758187522146000E-21
3.1067663912034000E+08,4.5510832628660400E-21
3.4084240857670200E+08,5.0878764803139800E-21
