Temperature(K),Lambda_th[erg*cm**3/s]
1625.755666443795,4.408251141425062e-25
1783.4308769319093,4.575885472915454e-25
1956.398343517065,4.7551141976448335e-25
2146.1411978584033,4.942456369000332e-25
2354.2864143224174,5.145427856597905e-25
2582.618760682678,5.368875786934195e-25
2833.0961018393236,5.616208312614956e-25
3107.8661877820136,5.90062277479942e-25
3409.285069746811,6.226783736214868e-25
3739.9373024787974,6.6006129305413535e-25
4102.658105827195,7.031098658207041e-25
4500.5576757004965,7.529418025368571e-25
4937.047852839003,8.119573501245114e-25
5415.871378079471,8.823232606383125e-25
5941.133984965032,9.670021592044337e-25
6517.339604882427,1.0706613040847456e-24
7149.428986597579,1.2000165217365745e-24
7842.822061337681,1.3694274647579973e-24
8603.464416684501,1.5899537755273856e-24
9437.878277775382,1.8766338985369305e-24
10353.218432956613,2.2545548460432092e-24
11357.333583431051,2.76616956382353e-24
12458.83364295008,3.519911596803858e-24
13667.163564620076,4.95073766357058e-24
14992.684327860472,7.789596327953734e-24
16446.761779946628,1.2342245479057054e-23
18041.864093920718,1.7598681124703328e-23
19791.668678535574,2.149583414439904e-23
21711.17945694505,2.567077682314914e-23
23816.855519761604,3.1004663652925314e-23
26126.752255633266,3.8001701380799896e-23
28660.676169482504,4.718108130981183e-23
31440.354715914997,5.903221419250711e-23
34489.6226040576,7.379859159874452e-23
37834.62617131933,9.233329285121564e-23
41504.047578504724,1.1563601315489176e-22
45529.35074866947,1.4509038361111484e-22
49945.0511585514,1.82868756662972e-22
54789.01179593944,2.3165657575972483e-22
60102.76782070388,2.9675799303740016e-22
65931.88271333542,3.84926709586613e-22
72326.33896483533,5.023929144028915e-22
79340.96665797493,6.549242620375471e-22
87035.91361485164,8.448540641566589e-22
95477.16114208066,1.078765303443628e-21
104737.08979594486,1.3602025538195121e-21
114895.10001873082,1.700115659602072e-21
126038.29296797274,2.1118559733561098e-21
138262.21737646565,2.62236151105206e-21
151671.6888470924,3.2374900785414083e-21
166381.68860761274,3.954827444178219e-21
182518.34943190424,4.77096763027224e-21
200220.0371815584,5.687713573017122e-21
219638.53724165465,6.711206722018939e-21
240940.3560239527,7.828217290100973e-21
264308.1486974108,9.019009783933502e-21
289942.2853882875,1.0272582107080698e-20
318062.56927941187,1.1587734465038727e-20
348910.12134067743,1.2987702829099064e-20
382749.4478516315,1.4479145387329093e-20
419870.70844439144,1.6036540126854895e-20
460592.20411451044,1.7639873246988702e-20
505263.1065335679,1.9269865752957546e-20
554266.4520663107,2.0904259180317925e-20
608022.4261649427,2.252606928004606e-20
666991.966303013,2.4125615628204618e-20
731680.7143427191,2.569226069428184e-20
802643.3522257173,2.721492232477049e-20
880488.3581643467,2.867906857742991e-20
965883.224115871,3.007306368932505e-20
