Temperature(K),Lambda[erg*cm**3/s]
3124.60899458159000000,1.4660359613564300E-24
3410.49962432498000000,1.6921520399638500E-24
3725.45562953533000000,1.9490886193952300E-24
4072.21879778100000000,2.2394513438714800E-24
4453.79441334098000000,2.5670389838915700E-24
4873.47886943893000000,2.9364481447869700E-24
5334.89000504019000000,3.3503682998309300E-24
5841.99889235526000000,3.8155514380567100E-24
6399.16504791709000000,4.3351653590081900E-24
7011.17452285577000000,4.9141836719458100E-24
7683.28134809454000000,5.5613983917792400E-24
8421.25356086825000000,6.2811108277771200E-24
9231.42287366928000000,7.0839724374823700E-24
10120.73919373310000000,7.8315348722776100E-24
11096.83044788690000000,7.9301290994100500E-24
12168.06819823530000000,8.2112733339948100E-24
13343.63964931050000000,9.1690265984322100E-24
14633.62605872290000000,1.1762574666718000E-23
16049.08790861570000000,1.6718598570058600E-23
17602.16450256970000000,2.1904284154318700E-23
19306.17411608890000000,2.5848056644541800E-23
21175.72972761890000000,2.9665288557254600E-23
23226.86431815340000000,3.3791809980670000E-23
25477.16895444590000000,3.9023174851459700E-23
27945.94481920620000000,4.6042764271718300E-23
30654.36853595690000000,5.5098269226864400E-23
33625.67521275570000000,6.6237837263449900E-23
36885.36101268760000000,7.9745986040349600E-23
40461.40058741310000000,9.5991726820691800E-23
44384.49084087930000000,1.1546307106173500E-22
48688.33388335650000000,1.3911380529619300E-22
53409.93121177230000000,1.6670580886892600E-22
58589.95250073840000000,1.9869085138073200E-22
64273.11688002190000000,2.3538983532330500E-22
70508.31060655020000000,2.7611166887103200E-22
77345.23249888260000000,3.1680375124214900E-22
84858.14722613490000000,3.5670585462638100E-22
93098.08901364950000000,3.9263316647090600E-22
102142.73925070300000000,4.1927157051356400E-22
112071.15949438600000000,4.2817078561703300E-22
122978.19142895600000000,4.1952752238330600E-22
134946.16882560700000000,4.1703023836439600E-22
148123.45023965800000000,4.2364852250613500E-22
163671.49758376000000000,4.6369921229035200E-22
183310.07590815000000000,6.0191074248192800E-22
196783.16035026000000000,4.8396792172250000E-22
214728.61981236600000000,4.6663182217846500E-22
236080.26026339500000000,4.6707089399878100E-22
449040.51979756700000000,1.6456169431152300E-22
492544.31532335700000000,1.6133937010764800E-22
496108.73378827200000000,4.1648844445335800E-22
540406.21380979400000000,1.5600682020719300E-22
607973.68276654400000000,3.2516165293604200E-22
614163.13707948600000000,1.0717270901768200E-21
666991.96544333300000000,4.6131203132566100E-22
684441.41211623500000000,1.5848967759288100E-21
731680.71395734200000000,5.8577937531001000E-22
760624.63896258600000000,2.1488487767522700E-21
802643.35170310400000000,7.0503634837564900E-22
847642.11959888900000000,2.9237384594034000E-21
880488.35749232000000000,8.1733167152824000E-22
940514.09893042200000000,3.6722019934337000E-21
1014178.10756325000000000,3.0570015658156800E-21
1157003.98606897000000000,5.3781536460704400E-21
1280264.93936926000000000,6.1317084672051500E-21
1432658.37062895000000000,7.8660325208427100E-21
1595595.22123826000000000,9.2736060411961800E-21
1916683.34156657000000000,1.7490240356878000E-20
1933455.42471751000000000,9.4078090490806600E-21
2371522.35375349000000000,1.1450626723696000E-20
2411903.20696425000000000,2.4471005054446300E-20
2923957.24214318000000000,2.7542395920791700E-20
3068363.36293545000000000,2.2424805240589900E-20
3287792.94893421000000000,1.7660447963025900E-20
3501618.66368601000000000,1.4584455939630200E-20
3886228.35730929000000000,1.5905634244919500E-20
